year,month,day,hour,doy,nee,nee_gf,gpp,gpp_gf,sif
2019,1,17,12.25,17,,0.33276,,-0.1097865,0.046689988
2019,1,17,13.25,17,,0.33374,,-0.086425,0.078041222
2019,1,17,14.25,17,,0.325425,,-0.06164,0.05643715
2019,1,17,15.25,17,,0.330875,,-0.0522235,0.055217968
2019,1,17,16.25,17,,0.35413,,-0.0881655,
2019,1,17,17.25,17,,0.371435,,-0.132565,
2019,1,17,18.25,17,,0.36996,,-0.153275,
2019,1,17,19.25,17,,0.39795,,-0.20174,
2019,1,17,20.25,17,,0.43214,,-0.259905,
2019,1,17,21.25,17,,0.42561,,-0.268165,
2019,1,17,22.25,17,,0.38994,,-0.24456,
2019,1,17,23.25,17,,0.397265,,-0.26035,
2019,1,18,0.25,18,,0.38556,,-0.259025,
2019,1,18,1.25,18,,0.390855,,-0.26542,
2019,1,18,2.25,18,,0.41734,,-0.300415,
2019,1,18,3.25,18,,0.44347,,-0.332565,
2019,1,18,4.25,18,,0.43517,,-0.32647,
2019,1,18,5.25,18,,0.40926,,-0.29993,
2019,1,18,6.25,18,,0.39863,,-0.28874,
2019,1,18,7.25,18,,0.366975,,-0.24317,
2019,1,18,8.25,18,,0.361665,,-0.2407,
2019,1,18,9.25,18,,0.362145,,-0.229765,
2019,1,18,10.25,18,,0.36234,,-0.19667,
2019,1,18,11.25,18,,0.336085,,-0.14922,0.017093014
2019,1,18,12.25,18,,0.323115,,-0.105121,0.035771059
2019,1,18,13.25,18,,0.33897,,-0.113145,0.004729443
2019,1,18,14.25,18,,0.331895,,-0.0737825,0.046563458
2019,1,18,15.25,18,,0.33669,,-0.069223,0.077054597
2019,1,18,16.25,18,,0.36753,,-0.0925495,
2019,1,18,17.25,18,,0.36668,,-0.10822,
2019,1,18,18.25,18,,0.38151,,-0.14403,
2019,1,18,19.25,18,,0.396605,,-0.157695,
2019,1,18,20.25,18,,0.40062,,-0.15896,
2019,1,18,21.25,18,,0.405695,,-0.17938,
2019,1,18,22.25,18,,0.410695,,-0.180985,
2019,1,18,23.25,18,,0.39905,,-0.18342,
2019,1,19,0.25,19,,0.39229,,-0.172445,
